ID,ZONEID,TIMESTAMP,U10,V10,U100,V100,TARGETVAR
1,1,20131201 1:00,0.2696598239,-6.0678454085,0.5048658947,-8.7723182186,0.8444694883
2,1,20131201 2:00,0.8253806455,-5.9401643794,1.2136198958,-8.5519392664,0.7950380419
3,1,20131201 3:00,0.8982620647,-5.8687238035,1.3094463296,-8.4743502271,0.8097922971
4,1,20131201 4:00,1.2473257042,-5.579414805,1.8850076145,-8.3635087422,0.5504181865
5,1,20131201 5:00,1.5906355474,-4.9815433195,2.6648780885,-8.1072693097,0.4964758811
6,1,20131201 6:00,0.9797741784,-2.8773396929,1.965164317,-6.1421149848,0.3094633894
7,1,20131201 7:00,0.9323053593,-1.8097844217,2.2158800181,-4.9893635427,0.6442063607
8,1,20131201 8:00,0.8153115021,-2.0377862594,2.8107271262,-5.4151252461,0.5191241306
9,1,20131201 9:00,1.2832869308,-1.823464532,3.7412680936,-4.9456789575,0.3083356762
10,1,20131201 10:00,-0.4529210891,-1.8077577387,1.0599359925,-4.5831621013,0.2608777352
11,1,20131201 11:00,-0.3781217378,-2.1006134324,0.7465413661,-5.9712886964,0.2967766121
12,1,20131201 12:00,-0.3555860358,-2.404109212,0.4765398419,-6.6767621468,0.4720420894
13,1,20131201 13:00,0.114786808,-2.7076049915,1.3214999691,-7.753228567,0.3887792461
14,1,20131201 14:00,0.4614530324,-2.7780322258,2.173089598,-7.8947144623,0.325251381
15,1,20131201 15:00,0.5587880857,-2.6462978307,2.6154581667,-7.4415683921,0.1301569383
16,1,20131201 16:00,0.2140397934,-2.5682705351,2.127285768,-6.7406590028,0.1392726203
17,1,20131201 17:00,0.2543163672,-2.5297635581,2.0200083766,-6.6285135005,0.0231151924
18,1,20131201 18:00,0.0337541775,-2.5591504616,1.3956298518,-6.517020007,0
19,1,20131201 19:00,0.7112636865,-2.6766980757,1.3100490116,-5.184966163,0
20,1,20131201 20:00,0.5271422063,-1.7682374202,1.0786191337,-4.2310773848,0.0008340365
21,1,20131201 21:00,0.7726375132,-1.5701291567,1.5776398079,-3.6012369476,0
22,1,20131201 22:00,0.6719460787,-1.0664984308,1.024980438,-2.2600549813,0
23,1,20131201 23:00,0.6158465652,-1.8092777509,0.727255543,-2.6643003965,0
24,1,20131202 0:00,0.6705076297,-3.3591835766,0.8755153085,-4.7957169486,0
25,1,20131202 1:00,1.2286559026,-2.8378387496,1.5777467458,-3.9479401688,0.0439749563
26,1,20131202 2:00,1.8255177637,-3.1552334771,2.3725800722,-4.4766446965,0.1601353222
27,1,20131202 3:00,2.2623543729,-3.2600742694,3.011359735,-4.6794354742,0.1894558738
28,1,20131202 4:00,2.2866006232,-3.2615104446,3.1393237391,-4.8309250135,0.1575979676
29,1,20131202 5:00,2.6559518358,-3.1188503711,3.7770630442,-4.7904875668,0.1531810875
30,1,20131202 6:00,2.4264206665,-1.6285791997,4.1661568453,-3.2019598079,0.1879522555
31,1,20131202 7:00,2.2918539775,-0.5562350224,4.4798247091,-1.2694119796,0.2655765341
